alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,record,reference_limb,remaining_missing_signal_values,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
16.95,6.51,paired trigger interval,True,25.55,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.73,21.65,4,11,12,2.84,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.19,6.51,model-assisted provisional six-phase fit,0.3458,weak/ambiguous pattern evidence,1,model_completed
9.92,6.6,paired trigger interval,True,25.23,0,All events provisional; pressure extrema are not heel-strike labels; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.0,22.13,4,8,12,1.72,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.28,6.6,model-assisted provisional six-phase fit,0.4343,moderate pattern evidence,2,model_completed
7.57,5.87,paired trigger interval,True,24.91,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,2.98,21.06,22,6,12,1.78,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.57,5.87,model-assisted provisional six-phase fit,0.3873,moderate pattern evidence,3,model_completed
18.94,8.77,paired trigger interval,True,24.990000000000002,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.6,22.46,16,12,12,2.68,6,jitu_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",18.94,17.61,model-assisted provisional six-phase fit,0.1959,weak/ambiguous pattern evidence,4,model_completed
11.73,4.88,paired trigger interval,True,23.12,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,1.93,19.45,6,11,12,0.81,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.57,4.88,model-assisted provisional six-phase fit,0.3137,weak/ambiguous pattern evidence,5,model_completed
17.58,7.4,paired trigger interval,True,25.52,0,All events provisional; pressure extrema are not heel-strike labels; insufficient bilateral repeated cycles for a six-phase fit; reconstructed values can affect boundaries; absent phases are not invented; ,4.1,20.92,20,4,11,3.37,6,jitu_1,,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",14.31,12.63,model-assisted provisional six-phase fit,,model-assisted; unverified,6,model_completed
12.83,9.33,paired trigger interval,True,23.84,0,All events provisional; pressure extrema are not heel-strike labels; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,2.35,21.41,6,11,12,1.91,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",12.83,10.95,model-assisted provisional six-phase fit,0.3437,moderate pattern evidence,7,model_completed
11.05,7.7,paired trigger interval,True,22.71,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,2.95,19.0,2,10,11,2.34,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.05,9.36,model-assisted provisional six-phase fit,0.4119,moderate pattern evidence,8,model_completed
12.65,6.05,paired trigger interval,True,24.71,0,All events provisional; pressure extrema are not heel-strike labels; insufficient complete strides or missing data for transition estimate; reconstructed values can affect boundaries; absent phases are not invented; ,3.25,21.43,18,7,12,2.06,6,jitu_1,,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.55,6.05,model-assisted provisional six-phase fit,,model-assisted; unverified,9,model_completed
13.9,8.77,paired trigger interval,True,24.6,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.73,19.64,4,10,11,2.0,6,jitu_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.57,8.77,model-assisted provisional six-phase fit,0.3515,weak/ambiguous pattern evidence,10,model_completed
12.52,9.07,paired trigger interval,True,24.63,0,All events provisional; pressure extrema are not heel-strike labels; insufficient complete strides or missing data for transition estimate; reconstructed values can affect boundaries; absent phases are not invented; ,2.51,19.67,20,6,11,0.71,6,jitu_21,,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.66,9.07,model-assisted provisional six-phase fit,,model-assisted; unverified,1,model_completed
