batch,stream,event_number,raw_time_seconds,interval_since_previous_event_seconds,inferred_role_from_timing,role_note
jitu_1,FMG,1,178.32,,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,2,203.87,25.55,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,3,213.6,9.73,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,4,238.83,25.23,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,5,247.42,8.59,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,6,272.33,24.91,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,7,279.22,6.89,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,8,304.21,24.99,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,9,311.24,7.03,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,10,334.36,23.12,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,11,342.97,8.61,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,12,368.49,25.52,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,13,376.08,7.59,trial start,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
jitu_1,FMG,14,399.92,23.84,trial end,Role is inferred from the alternating long gait-bout interval and short inter-trial gap; the raw pulse itself has no start/end label.
